證券代碼,年月日,本益比-TSE
1201 味全,2017/03/31,0
1203 味王,2017/03/31,22.81
1210 大成,2017/03/31,9.57
1213 大飲,2017/03/31,66.3
1215 卜蜂,2017/03/31,11.51
1216 統一,2017/03/31,22.23
1217 愛之味,2017/03/31,35.9
1218 泰山,2017/03/31,15.85
1219 福壽,2017/03/31,33.88
1220 台榮,2017/03/31,11.99
1225 福懋油,2017/03/31,14.84
1227 佳格,2017/03/31,26.36
1229 聯華,2017/03/31,10.74
1231 聯華食,2017/03/31,11.32
1232 大統益,2017/03/31,16.34
1233 天仁,2017/03/31,20.03
1234 黑松,2017/03/31,12.24
1235 興泰,2017/03/31,7.24
1236 宏亞,2017/03/31,26.3
1256 鮮活果汁-KY,2017/03/31,17.72
1702 南僑,2017/03/31,12.51
1737 臺鹽,2017/03/31,17.24
910322 康師傅-DR,2017/03/31,0
911616 杜康-DR,2017/03/31,0
1201 味全,2017/03/30,0
1203 味王,2017/03/30,22.76
1210 大成,2017/03/30,9.57
1213 大飲,2017/03/30,66.67
1215 卜蜂,2017/03/30,11.51
1216 統一,2017/03/30,21.92
1217 愛之味,2017/03/30,0
1218 泰山,2017/03/30,15.85
1219 福壽,2017/03/30,30.27
1220 台榮,2017/03/30,11.99
1225 福懋油,2017/03/30,14.87
1227 佳格,2017/03/30,26.57
1229 聯華,2017/03/30,13.3
1231 聯華食,2017/03/30,11.24
1232 大統益,2017/03/30,16.34
1233 天仁,2017/03/30,19.97
1234 黑松,2017/03/30,12.84
1235 興泰,2017/03/30,7.34
1236 宏亞,2017/03/30,26.38
1256 鮮活果汁-KY,2017/03/30,17.96
1702 南僑,2017/03/30,12.63
1737 臺鹽,2017/03/30,17.22
910322 康師傅-DR,2017/03/30,0
911616 杜康-DR,2017/03/30,0
1201 味全,2017/03/29,0
1203 味王,2017/03/29,22.76
1210 大成,2017/03/29,12.5
1213 大飲,2017/03/29,66.48
1215 卜蜂,2017/03/29,11.55
1216 統一,2017/03/29,22
1217 愛之味,2017/03/29,0
1218 泰山,2017/03/29,15.96
1219 福壽,2017/03/29,30.55
1220 台榮,2017/03/29,11.99
1225 福懋油,2017/03/29,14.87
1227 佳格,2017/03/29,26.47
1229 聯華,2017/03/29,12.85
1231 聯華食,2017/03/29,11.32
1232 大統益,2017/03/29,16.51
1233 天仁,2017/03/29,19.97
1234 黑松,2017/03/29,12.86
1235 興泰,2017/03/29,5.61
1236 宏亞,2017/03/29,26.38
1256 鮮活果汁-KY,2017/03/29,18.02
1702 南僑,2017/03/29,12.81
1737 臺鹽,2017/03/29,17.24
910322 康師傅-DR,2017/03/29,0
911616 杜康-DR,2017/03/29,0
1201 味全,2017/03/28,0
1203 味王,2017/03/28,22.86
1210 大成,2017/03/28,12.48
1213 大飲,2017/03/28,66.67
1215 卜蜂,2017/03/28,11.36
1216 統一,2017/03/28,21.96
1217 愛之味,2017/03/28,0
1218 泰山,2017/03/28,15.9
1219 福壽,2017/03/28,30.45
1220 台榮,2017/03/28,12.04
1225 福懋油,2017/03/28,14.87
1227 佳格,2017/03/28,26.64
1229 聯華,2017/03/28,12.62
1231 聯華食,2017/03/28,11.24
1232 大統益,2017/03/28,16.49
1233 天仁,2017/03/28,20.03
1234 黑松,2017/03/28,12.86
1235 興泰,2017/03/28,5.87
1236 宏亞,2017/03/28,26.3
1256 鮮活果汁-KY,2017/03/28,18.32
1702 南僑,2017/03/28,12.61
1737 臺鹽,2017/03/28,17.13
910322 康師傅-DR,2017/03/28,0
911616 杜康-DR,2017/03/28,0
1201 味全,2017/03/27,0
1203 味王,2017/03/27,22.81
1210 大成,2017/03/27,12.52
1213 大飲,2017/03/27,163.18
1215 卜蜂,2017/03/27,11.27
1216 統一,2017/03/27,21.81
1217 愛之味,2017/03/27,0
1218 泰山,2017/03/27,16.01
1219 福壽,2017/03/27,30.45
1220 台榮,2017/03/27,12.1
1225 福懋油,2017/03/27,15.01
1227 佳格,2017/03/27,26.57
1229 聯華,2017/03/27,12.59
1231 聯華食,2017/03/27,11.34
1232 大統益,2017/03/27,16.74
1233 天仁,2017/03/27,20.03
1234 黑松,2017/03/27,12.98
1235 興泰,2017/03/27,6.52
1236 宏亞,2017/03/27,26.45
1256 鮮活果汁-KY,2017/03/27,17.84
1702 南僑,2017/03/27,12.75
1737 臺鹽,2017/03/27,19.15
910322 康師傅-DR,2017/03/27,0
911616 杜康-DR,2017/03/27,0
1201 味全,2017/03/24,0
1203 味王,2017/03/24,22.76
1210 大成,2017/03/24,13.06
1213 大飲,2017/03/24,162.73
1215 卜蜂,2017/03/24,11.68
1216 統一,2017/03/24,22.19
1217 愛之味,2017/03/24,0
1218 泰山,2017/03/24,16.06
1219 福壽,2017/03/24,29.64
1220 台榮,2017/03/24,12.31
1225 福懋油,2017/03/24,14.99
1227 佳格,2017/03/24,26.57
1229 聯華,2017/03/24,12.62
1231 聯華食,2017/03/24,12.19
1232 大統益,2017/03/24,16.77
1233 天仁,2017/03/24,19.95
1234 黑松,2017/03/24,13.05
1235 興泰,2017/03/24,6.17
1236 宏亞,2017/03/24,26.52
1256 鮮活果汁-KY,2017/03/24,18.14
1702 南僑,2017/03/24,12.83
1737 臺鹽,2017/03/24,19.09
910322 康師傅-DR,2017/03/24,0
911616 杜康-DR,2017/03/24,0
1201 味全,2017/03/23,0
1203 味王,2017/03/23,22.76
1210 大成,2017/03/23,12.93
1213 大飲,2017/03/23,162.73
1215 卜蜂,2017/03/23,11.46
1216 統一,2017/03/23,22.15
1217 愛之味,2017/03/23,0
1218 泰山,2017/03/23,16.01
1219 福壽,2017/03/23,29.73
1220 台榮,2017/03/23,12.31
1225 福懋油,2017/03/23,15.01
1227 佳格,2017/03/23,26.82
1229 聯華,2017/03/23,12.57
1231 聯華食,2017/03/23,11.76
1232 大統益,2017/03/23,16.65
1233 天仁,2017/03/23,20.05
1234 黑松,2017/03/23,13.02
1235 興泰,2017/03/23,6.14
1236 宏亞,2017/03/23,26.45
1256 鮮活果汁-KY,2017/03/23,18.08
1702 南僑,2017/03/23,12.71
1737 臺鹽,2017/03/23,19.18
910322 康師傅-DR,2017/03/23,0
911616 杜康-DR,2017/03/23,0
1201 味全,2017/03/22,0
1203 味王,2017/03/22,22.71
1210 大成,2017/03/22,12.82
1213 大飲,2017/03/22,163.18
1215 卜蜂,2017/03/22,11.4
1216 統一,2017/03/22,22
1217 愛之味,2017/03/22,0
1218 泰山,2017/03/22,16.01
1219 福壽,2017/03/22,29.64
1220 台榮,2017/03/22,12.2
1225 福懋油,2017/03/22,14.96
1227 佳格,2017/03/22,26.4
1229 聯華,2017/03/22,12.64
1231 聯華食,2017/03/22,11.73
1232 大統益,2017/03/22,17.34
1233 天仁,2017/03/22,20.11
1234 黑松,2017/03/22,12.98
1235 興泰,2017/03/22,6.13
1236 宏亞,2017/03/22,26.38
1256 鮮活果汁-KY,2017/03/22,18.44
1702 南僑,2017/03/22,12.61
